,PopRank,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,0,0.5058902991880879,0.7722004875873004,0.7296188283010351,0.7225329177711894,0.6972401792109308,0.7473744101536367,0.8165458979863344,0.9047500291357587,0.8868293785536333,0.7963421782435162,0.6763960372255992,0.6135253506478808,0.5470823592467345,0.47615284124183516,0.5024862322612086,0.5219136212677021,0.5174324896045823,0.2407142879988112
1,1,0.9588911597549092,1.5124162249982103,1.4936843934882513,1.5458325440920633,1.639765552649402,1.869360331851601,2.0310267465578833,1.8103474804626287,1.7268918485656337,1.5660926134883455,1.318838467101241,1.2229600903639588,1.1147438463537813,0.9497578775846037,0.9754389608542812,1.0240089693541345,0.9953739594809856,0.456271007804894
2,2,0.8844044277728305,1.376552941153582,1.3437334924279634,1.4372364499376813,1.5611221695321438,1.945422348839256,2.2893421922652157,2.6257782338021824,2.5052448247217796,2.0174248632865575,1.5007195253940158,1.4744313714308657,1.3497423246500446,1.1977866397599317,1.397961794636273,1.5366803139554488,1.541040749280979,0.7222523003889441
3,3,0.5530698610449966,0.858665047625972,0.8335807651338366,0.8504021058870165,0.8422066060076826,0.8772724998633663,0.8929145504599264,0.9770678464199317,0.962832604919991,0.895485492771208,0.7387080051273927,0.6715041875023305,0.5827506880338318,0.4725324027793702,0.48571835190880835,0.5110880008052401,0.5036463936092073,0.23068859875685233
4,4,0.39441565251669625,0.5950348840670755,0.5561747012018907,0.5501414742909406,0.5170155557254185,0.544478253841285,0.5650678280823317,0.6033649719314776,0.5995600795413185,0.5553685830603481,0.47190749577587116,0.4660135219829808,0.43033711133253827,0.3817989580941121,0.40046580323487824,0.4146131818653016,0.43610857312820056,0.21888107821784317
5,5,0.39876488982320085,0.5998576141487524,0.565907092786009,0.5833683351397626,0.5892394928282855,0.6563132093397044,0.7477349630411833,0.8589132593704546,0.8434614883710477,0.7872099409006555,0.6993098305788034,0.6705414677674323,0.6154209606460266,0.5221009775438272,0.5257692398347292,0.5265449100070828,0.502139269451488,0.22663177754825048
6,6,,,,,,,,,,,,0.3872579953388778,0.4258317896118859,0.37424169441029015,0.39219481061527445,0.4228418924889106,0.4375264962495449,0.21062666448725445
7,7,0.4576113557799251,0.6971689075403319,0.6802998682335808,0.7202187687556547,0.7416977018210079,0.8641134554694512,1.0469855994870134,1.1658499129012074,1.093441674759565,0.9164660451885864,0.7428790781110015,0.7003705686544673,0.6317092375062702,0.5670224103663152,0.6096334571563092,0.6552709716744837,0.6401269624786582,0.28975360008041334
8,8,0.46835045949947013,0.7190144126807398,0.7118624921276456,0.7724704285493736,0.8007937457146191,0.9523737576155141,1.2213102655771928,1.451786939017957,1.3819156065770792,1.0612044278709571,0.7058244503995854,0.6093602408778761,0.5265536408403623,0.4836049877850171,0.5555096381078806,0.6185239298276549,0.6702010262305803,0.321536344409635
9,9,0.44732535360488584,0.697169800585182,0.6652353841587971,0.6620899031962644,0.6260754542985887,0.6408436966346616,0.662505989285803,0.7064013311363687,0.6913982738660144,0.6556780846716954,0.5525115139076917,0.5173110085355881,0.4282506390257177,0.35230726763915526,0.3769018901670729,0.40938356624068467,0.4194443919321997,0.1982197743230415
