RegionID,RegionName,PopRank,tier,Date,Mortgage/Income ratio
394856,"Miami-Fort Lauderdale, FL",8,Upper Tier,1999-09-30,0.147995322348994
394862,"Milwaukee, WI",38,Bottom Tier,1999-09-30,0.288019433711393
394862,"Milwaukee, WI",38,Middle Tier,1999-09-30,0.202325646715836
394862,"Milwaukee, WI",38,Upper Tier,1999-09-30,0.166529810369087
394865,"Minneapolis-St Paul, MN",16,Bottom Tier,1999-09-30,0.291318688413315
394865,"Minneapolis-St Paul, MN",16,Middle Tier,1999-09-30,0.175246509177244
394865,"Minneapolis-St Paul, MN",16,Upper Tier,1999-09-30,0.143845741569172
394902,"Nashville, TN",36,Bottom Tier,1999-09-30,0.274950257626285
394902,"Nashville, TN",36,Middle Tier,1999-09-30,0.178492622782031
394902,"Nashville, TN",36,Upper Tier,1999-09-30,0.157755513198512
394910,"New Orleans, LA",45,Bottom Tier,1999-09-30,
394910,"New Orleans, LA",45,Upper Tier,1999-09-30,
394913,"New York, NY",1,Bottom Tier,1999-09-30,0.576430378805183
394913,"New York, NY",1,Middle Tier,1999-09-30,0.260723870784077
394913,"New York, NY",1,Upper Tier,1999-09-30,
394935,"Oklahoma City, OK",41,Bottom Tier,1999-09-30,0.204915566132705
394935,"Oklahoma City, OK",41,Middle Tier,1999-09-30,0.139174866717564
394935,"Oklahoma City, OK",41,Upper Tier,1999-09-30,0.120973991477583
394943,"Orlando, FL",27,Bottom Tier,1999-09-30,0.250068923663375
394943,"Orlando, FL",27,Middle Tier,1999-09-30,0.173246893102841
394943,"Orlando, FL",27,Upper Tier,1999-09-30,0.141945799071511
394974,"Philadelphia, PA",5,Bottom Tier,1999-09-30,0.225658539926817
394974,"Philadelphia, PA",5,Middle Tier,1999-09-30,0.160114125861697
394974,"Philadelphia, PA",5,Upper Tier,1999-09-30,0.136802907738386
394976,"Phoenix, AZ",14,Bottom Tier,1999-09-30,0.312004217882396
394976,"Phoenix, AZ",14,Middle Tier,1999-09-30,0.190842610729947
394976,"Phoenix, AZ",14,Upper Tier,1999-09-30,0.156128204475191
394982,"Pittsburgh, PA",22,Bottom Tier,1999-09-30,0.213750681529986
394982,"Pittsburgh, PA",22,Middle Tier,1999-09-30,0.142570859648972
394982,"Pittsburgh, PA",22,Upper Tier,1999-09-30,0.118562195587092
394998,"Portland, OR",23,Bottom Tier,1999-09-30,0.422591060206522
394998,"Portland, OR",23,Middle Tier,1999-09-30,0.236605511559286
394998,"Portland, OR",23,Upper Tier,1999-09-30,0.184702541209968
395005,"Providence, RI",37,Bottom Tier,1999-09-30,0.443944124933508
395005,"Providence, RI",37,Middle Tier,1999-09-30,0.211835080991182
395005,"Providence, RI",37,Upper Tier,1999-09-30,0.161977243219338
395012,"Raleigh, NC",47,Bottom Tier,1999-09-30,0.324007992248191
395012,"Raleigh, NC",47,Middle Tier,1999-09-30,0.198229557620773
395012,"Raleigh, NC",47,Upper Tier,1999-09-30,0.16631593277574
395022,"Richmond, VA",44,Bottom Tier,1999-09-30,0.25479076889871
395022,"Richmond, VA",44,Middle Tier,1999-09-30,0.164865908876233
395022,"Richmond, VA",44,Upper Tier,1999-09-30,0.135103890664432
395025,"Riverside, CA",13,Bottom Tier,1999-09-30,0.345689313520697
395025,"Riverside, CA",13,Middle Tier,1999-09-30,0.214174345054416
395025,"Riverside, CA",13,Upper Tier,1999-09-30,0.174034901792547
395031,"Rochester, NY",50,Bottom Tier,1999-09-30,0.241319307363155
395031,"Rochester, NY",50,Upper Tier,1999-09-30,0.112479200203656
395045,"Sacramento, CA",25,Bottom Tier,1999-09-30,0.384299497535754
395045,"Sacramento, CA",25,Middle Tier,1999-09-30,0.234215587692311
395045,"Sacramento, CA",25,Upper Tier,1999-09-30,0.177780128993198
395053,"Salt Lake City, UT",49,Bottom Tier,1999-09-30,0.385716968834249
395053,"Salt Lake City, UT",49,Middle Tier,1999-09-30,0.218838526029657
395053,"Salt Lake City, UT",49,Upper Tier,1999-09-30,0.168481592744129
395055,"San Antonio, TX",26,Bottom Tier,1999-09-30,
395055,"San Antonio, TX",26,Middle Tier,1999-09-30,
395055,"San Antonio, TX",26,Upper Tier,1999-09-30,
395056,"San Diego, CA",17,Bottom Tier,1999-09-30,0.510706506920977
395056,"San Diego, CA",17,Middle Tier,1999-09-30,0.304919687976441
395056,"San Diego, CA",17,Upper Tier,1999-09-30,0.240043725468211
395057,"San Francisco, CA",11,Bottom Tier,1999-09-30,0.567175698149615
395057,"San Francisco, CA",11,Middle Tier,1999-09-30,0.346823829599963
395057,"San Francisco, CA",11,Upper Tier,1999-09-30,0.265750579216731
395059,"San Jose, CA",33,Bottom Tier,1999-09-30,0.597450986570325
395059,"San Jose, CA",33,Middle Tier,1999-09-30,0.336545853111877
395059,"San Jose, CA",33,Upper Tier,1999-09-30,0.274501170454741
395078,"Seattle, WA",15,Bottom Tier,1999-09-30,0.438697687216283
395078,"Seattle, WA",15,Middle Tier,1999-09-30,0.262092946969364
395078,"Seattle, WA",15,Upper Tier,1999-09-30,0.212834305572096
395121,"St. Louis, MO",18,Bottom Tier,1999-09-30,0.227023366319968
395121,"St. Louis, MO",18,Middle Tier,1999-09-30,0.150496680948535
395121,"St. Louis, MO",18,Upper Tier,1999-09-30,0.136657757838954
395148,"Tampa, FL",19,Bottom Tier,1999-09-30,0.239722604214015
395148,"Tampa, FL",19,Middle Tier,1999-09-30,0.159370673237134
395148,"Tampa, FL",19,Upper Tier,1999-09-30,0.133553041331598
395194,"Virginia Beach, VA",35,Bottom Tier,1999-09-30,0.268484713042285
395194,"Virginia Beach, VA",35,Middle Tier,1999-09-30,0.169686992189602
395194,"Virginia Beach, VA",35,Upper Tier,1999-09-30,0.147273189499016
395209,"Washington, DC",7,Bottom Tier,1999-09-30,0.268192401629919
395209,"Washington, DC",7,Middle Tier,1999-09-30,0.177779756517497
395209,"Washington, DC",7,Upper Tier,1999-09-30,0.152711393881517
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,1999-09-30,0.583665906572613
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Middle Tier,1999-09-30,0.317188656244935
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,1999-09-30,0.254094585858141
102001,United States,0,Bottom Tier,1999-12-31,0.316834076919005
102001,United States,0,Middle Tier,1999-12-31,0.196900867473799
102001,United States,0,Upper Tier,1999-12-31,0.157198360559066
394347,"Atlanta, GA",9,Bottom Tier,1999-12-31,0.273126889755129
394347,"Atlanta, GA",9,Middle Tier,1999-12-31,0.176343747490489
394347,"Atlanta, GA",9,Upper Tier,1999-12-31,0.150019355138092
394355,"Austin, TX",34,Bottom Tier,1999-12-31,
394355,"Austin, TX",34,Middle Tier,1999-12-31,
