State,Date,RegionID,PopRank,AffordabilityRatio
AL,1999-06-30,394388.0,48.0,0.18202409819832166
AL,1999-09-30,394388.0,48.0,0.189181931603056
AL,1999-12-31,394388.0,48.0,0.19183517330153732
AL,2000-03-31,394388.0,48.0,0.20073777801536366
AL,2000-06-30,394388.0,48.0,0.20344613012000967
AL,2000-09-30,394388.0,48.0,0.19798039255635666
AL,2000-12-31,394388.0,48.0,0.1927288262131123
AL,2001-03-31,394388.0,48.0,0.18373069490215432
AL,2001-06-30,394388.0,48.0,0.18665855597124067
AL,2001-09-30,394388.0,48.0,0.18178021074428533
AL,2001-12-31,394388.0,48.0,0.18068292720143866
AL,2002-03-31,394388.0,48.0,0.18305162714958834
AL,2002-06-30,394388.0,48.0,0.17895111943112033
AL,2002-09-30,394388.0,48.0,0.17126994423962696
AL,2002-12-31,394388.0,48.0,0.16959049059813736
AL,2003-03-31,394388.0,48.0,0.16545342862076465
AL,2003-06-30,394388.0,48.0,0.159773598836525
AL,2003-09-30,394388.0,48.0,0.17406729353769768
AL,2003-12-31,394388.0,48.0,0.171834901940599
AL,2004-03-31,394388.0,48.0,0.163008488514897
AL,2004-06-30,394388.0,48.0,0.17440446731305767
AL,2004-09-30,394388.0,48.0,0.16691986922367766
AL,2004-12-31,394388.0,48.0,0.167606825703057
AL,2005-03-31,394388.0,48.0,0.17204130905818402
AL,2005-06-30,394388.0,48.0,0.170567071944155
AL,2005-09-30,394388.0,48.0,0.173985259558743
AL,2005-12-31,394388.0,48.0,0.18247052196215832
AL,2006-03-31,394388.0,48.0,0.184228862615193
AL,2006-06-30,394388.0,48.0,0.18720632042174
AL,2006-09-30,394388.0,48.0,0.18192090127752034
AL,2006-12-31,394388.0,48.0,0.17725831990941865
AL,2007-03-31,394388.0,48.0,0.17341578789012133
AL,2007-06-30,394388.0,48.0,0.17761924962470835
AL,2007-09-30,394388.0,48.0,0.182005839441723
AL,2007-12-31,394388.0,48.0,0.17695389150612337
AL,2008-03-31,394388.0,48.0,0.174919514952243
AL,2008-06-30,394388.0,48.0,0.18291551313454066
AL,2008-09-30,394388.0,48.0,0.17833814945217633
AL,2008-12-31,394388.0,48.0,0.16554112595481066
AL,2009-03-31,394388.0,48.0,0.16183270261387167
AL,2009-06-30,394388.0,48.0,0.164532452791179
AL,2009-09-30,394388.0,48.0,0.162390945402212
AL,2009-12-31,394388.0,48.0,0.15832310103964933
AL,2010-03-31,394388.0,48.0,0.1581887817084867
AL,2010-06-30,394388.0,48.0,0.15221740529602265
AL,2010-09-30,394388.0,48.0,0.14563661043539267
AL,2010-12-31,394388.0,48.0,0.14730197077550466
AL,2011-03-31,394388.0,48.0,0.14923606430824968
AL,2011-06-30,394388.0,48.0,0.145718644621152
AL,2011-09-30,394388.0,48.0,0.137264055507084
AL,2011-12-31,394388.0,48.0,0.13216142887238166
AL,2012-03-31,394388.0,48.0,0.12694464118965285
AL,2012-06-30,394388.0,48.0,0.11981284636677136
AL,2012-09-30,394388.0,48.0,0.11905557886884004
AL,2012-12-31,394388.0,48.0,0.11370584105029242
AL,2013-03-31,394388.0,48.0,0.11717066189877401
AL,2013-06-30,394388.0,48.0,0.1211190818158114
AL,2013-09-30,394388.0,48.0,0.13153260353579702
AL,2013-12-31,394388.0,48.0,0.12942478598161666
AL,2014-03-31,394388.0,48.0,0.12830641555795566
AL,2014-06-30,394388.0,48.0,0.12397067342615432
AL,2014-09-30,394388.0,48.0,0.1214638535773635
AL,2014-12-31,394388.0,48.0,0.11936184091103323
AL,2015-03-31,394388.0,48.0,0.117756103535663
AL,2015-06-30,394388.0,48.0,0.12116837241845933
AL,2015-09-30,394388.0,48.0,0.12173237921808178
AL,2015-12-31,394388.0,48.0,0.12243855853342821
AL,2016-03-31,394388.0,48.0,0.11824522331628186
AL,2016-06-30,394388.0,48.0,0.11737286685117428
AZ,1999-06-30,394976.0,14.0,0.2095384768070683
AZ,1999-09-30,394976.0,14.0,0.21965834436251133
AZ,1999-12-31,394976.0,14.0,0.22305750880231334
AZ,2000-03-31,394976.0,14.0,0.235752714414781
AZ,2000-06-30,394976.0,14.0,0.24056091069535335
AZ,2000-09-30,394976.0,14.0,0.235259272063292
AZ,2000-12-31,394976.0,14.0,0.22902809375921832
AZ,2001-03-31,394976.0,14.0,0.22024406735984434
AZ,2001-06-30,394976.0,14.0,0.22410093570771403
AZ,2001-09-30,394976.0,14.0,0.21945480770759299
AZ,2001-12-31,394976.0,14.0,0.22156603776204167
AZ,2002-03-31,394976.0,14.0,0.22610234862591203
AZ,2002-06-30,394976.0,14.0,0.22242377835383367
AZ,2002-09-30,394976.0,14.0,0.21440693212514902
AZ,2002-12-31,394976.0,14.0,0.21403972613646002
AZ,2003-03-31,394976.0,14.0,0.21032049663684269
AZ,2003-06-30,394976.0,14.0,0.20242769077703734
AZ,2003-09-30,394976.0,14.0,0.2189528475093263
AZ,2003-12-31,394976.0,14.0,0.216978147924063
AZ,2004-03-31,394976.0,14.0,0.21267937737226497
AZ,2004-06-30,394976.0,14.0,0.2337584502430957
AZ,2004-09-30,394976.0,14.0,0.23490813979938566
AZ,2004-12-31,394976.0,14.0,0.2507541529288713
